,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
71,Serbia and Montenegro,2829.0,2870.8,2912.6,2954.4,2996.2,3038.0,5260.6,7483.2,9705.8,11928.4,14151.0,12162.0,10173.0,8184.0,6195.0,4206.0,7054.2,9902.4,12750.599999999999,15598.8,18447.0,18713.4,18979.8,19246.2,19512.6,19779.0,19968.4,20157.8,20347.2,20536.6,20726.0,Australia,83176.0
72,Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,141.4,282.8,424.20000000000005,565.6,707.0,742.4,777.8,813.2,848.6,884.0,868.4,852.8,837.2,821.6,806.0,815.6,825.2,834.8,844.4,854.0,859.6,865.2,870.8,876.4,882.0,Australia,4133.0
73,Singapore,2359.0,2632.6,2906.2,3179.8,3453.4,3727.0,4158.8,4590.6,5022.4,5454.2,5886.0,6165.2,6444.4,6723.6,7002.8,7282.0,7601.6,7921.2,8240.8,8560.4,8880.0,9289.2,9698.4,10107.6,10516.8,10926.0,11361.2,11796.4,12231.6,12666.8,13102.0,Australia,52162.0
74,Slovakia,1332.0,1360.6,1389.2,1417.8,1446.4,1475.0,1547.0,1619.0,1691.0,1763.0,1835.0,1772.6,1710.2,1647.8,1585.4,1523.0,1445.2,1367.4,1289.6,1211.8,1134.0,1170.0,1206.0,1242.0,1278.0,1314.0,1349.2,1384.4,1419.6,1454.8,1490.0,Australia,10103.0
75,Slovenia,2557.0,2575.4,2593.8,2612.2,2630.6,2649.0,2491.6,2334.2,2176.8,2019.4,1862.0,2160.4,2458.8,2757.2,3055.6,3354.0,3200.8,3047.6,2894.4,2741.2,2588.0,2591.2,2594.4,2597.6,2600.8,2604.0,2588.6,2573.2,2557.8,2542.4,2527.0,Australia,18141.0
76,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.0,39.0,52.0,65.0,117.0,169.0,221.0,273.0,325.0,383.8,442.6,501.4,560.2,619.0,637.0,655.0,673.0,691.0,709.0,726.8,744.6,762.4,780.2,798.0,Australia,2516.0
77,South Africa,5506.0,6001.8,6497.6,6993.4,7489.2,7985.0,8675.2,9365.4,10055.6,10745.8,11436.0,12224.0,13012.0,13800.0,14588.0,15376.0,17147.6,18919.2,20690.8,22462.4,24234.0,25475.2,26716.4,27957.6,29198.8,30440.0,31779.8,33119.6,34459.4,35799.2,37139.0,Australia,132116.0
78,Spain,3780.0,3859.6,3939.2,4018.8,4098.4,4178.0,4205.6,4233.2,4260.8,4288.4,4316.0,4311.0,4306.0,4301.0,4296.0,4291.0,4262.4,4233.8,4205.2,4176.6,4148.0,4200.2,4252.4,4304.6,4356.8,4409.0,4442.4,4475.8,4509.2,4542.6,4576.0,Australia,29698.0
79,Sri Lanka,4035.0,4422.4,4809.8,5197.2,5584.6,5972.0,6933.6,7895.2,8856.8,9818.4,10780.0,11506.0,12232.0,12958.0,13684.0,14410.0,14667.4,14924.8,15182.2,15439.6,15697.0,16476.2,17255.4,18034.6,18813.8,19593.0,20430.2,21267.4,22104.6,22941.8,23779.0,Australia,94266.0
80,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,71.8,143.6,215.39999999999998,287.2,359.0,416.6,474.2,531.8,589.4,647.0,731.6,816.2,900.8,985.4,1070.0,1109.8,1149.6,1189.4,1229.2,1269.0,1309.8,1350.6,1391.4,1432.2,1473.0,Australia,4818.0
