"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,1972.61,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","130","Local government expenditures","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,1974.46,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,569.486,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,685.923,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,682.792,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,835.679,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,681.21,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,926.99,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,1158.43,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,1527.12,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,1298.5,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,1416.03,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,1392.36,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","200","Private expenditures","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,1484.38,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,417.149,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,314.368,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,400.013,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,323.41,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,370.02,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,364.01,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,404.41,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,522.91,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,846.69,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,597.17,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,655.9,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,764.73,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,890.5,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,0,"x","Included elsewhere"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,0,"x","Included elsewhere"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,0,"x","Included elsewhere"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,0,"x","Included elsewhere"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,0,"x","Included elsewhere"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,0,"a","Not applicable"
