,country,co2,expRD,expEd,expHealth,gdp,year
399,Cambodia,337.36400000000003,0.0498,1.2926053999999998,6.54116726,2533727592.0416512,2
401,Canada,414811.04,1.61209,6.02896738,8.27567863,313506525087.1362,2
403,Chad,205.352,0.3005,2.07503939,5.45750713,834369860.4272919,2
404,Chile,20615.874,0.30956999999999996,2.51822186,7.03517628,25325893205.657043,2
405,China,1580260.6469999999,0.56324,0.98304564,4.47341394,205089699858.7786,2
406,Colombia,45914.507000000005,0.29923,4.20017815,5.63529348,38968039721.74803,2
408,"Congo, Dem. Rep.",3072.946,0.26777,0.061828999999999995,1.45309758,13651667371.167645,2
410,Costa Rica,2086.5229999999997,0.30377,4.28046608,6.59314299,2606621255.0158124,2
411,Cote d'Ivoire,6109.222,0.0956,0.8112600999999999,5.59964752,7567109766.611292,2
412,Croatia,16417.159,0.8404,6.54853821,7.70187807,22534323220.02657,2
413,Cuba,34554.141,0.34736,5.50884342,6.58189821,20953510235.294117,2
414,Cyprus,3102.282,0.20331,2.18027353,5.30800056,2159242416.76942,2
415,Czech Republic,138176.22699999998,0.89446,5.07170343,5.71755314,40728950704.61762,2
416,Denmark,53695.880999999994,1.80667,6.73533964,8.10438347,60412844678.604,2
420,Ecuador,19288.42,0.07406,0.96102405,3.31528974,19929853574.609524,2
421,"Egypt, Arab Rep.",56523.138,0.2126,1.73206902,4.92244291,27655172413.793102,2
422,El Salvador,1767.494,0.08818,3.94314814,8.92467785,3399189100.0,2
425,Estonia,23879.504,0.5707399999999999,3.92247367,5.15698433,4006983328.922996,2
426,Ethiopia,1481.4679999999998,0.17917,1.79956126,4.3650465,7707678019.323672,2
428,Finland,43083.583,2.4531099999999997,5.37109375,7.09253168,52797582336.25263,2
429,France,436893.714,2.2228,6.97070265,9.58447742,584877732308.6136,2
430,Gabon,6556.596,0.41633000000000003,1.06383801,2.90536857,3618007844.4490843,2
431,"Gambia, The",161.34799999999998,0.020390000000000002,0.58467138,6.63892317,216051495.95981655,2
432,Georgia,15335.393999999998,0.33089,0.84395164,7.39698839,7753501867.760945,2
433,Germany,929973.202,2.13911,7.73300314,9.888197900000002,776576439106.9558,2
434,Ghana,3043.61,0.23156999999999997,0.77592826,3.00223541,4035994397.759104,2
435,Greece,52148.407,0.4291,4.46380281,7.24332571,54617989795.918365,2
437,Guatemala,3626.663,0.035,2.01699448,5.69112062,8716999700.0,2
442,Honduras,1763.8270000000002,0.04453,3.02285886,6.26817942,4266503525.6105103,2
443,Hungary,86871.23,0.63025,4.66643333,6.77804375,34753569692.91496,2
444,Iceland,1598.8120000000001,1.7954,7.21218348,8.95112514,3211446625.9158807,2
445,India,349637.44899999996,0.63905,0.83442992,4.03493309,200715145360.91833,2
446,Indonesia,105407.915,0.06769,0.54987711,1.90931416,90158449307.23872,2
447,"Iran, Islamic Rep.",138007.545,0.5021800000000001,1.7855710999999999,4.73503828,125948756439.66753,2
448,Iraq,30623.117000000002,0.04554,1.35636795,2.99196029,42595309882.74707,2
